"X","ID","sex","B.width","Tusk","days","Age","no.recaptures","tot.dist","max.dist","dist.a.day","rel.bodywidth"
1811,181,"f",11.8,0,0,"juvenil",0,0,0,NA,0.0777241885098816
1831,183,"f",12.27,0,0,"juvenil",0,0,0,NA,0.749930924344869
1841,184,"f",12.19,0,0,"juvenil",0,0,0,NA,0.635512756543169
1871,187,"f",10.91,0,0,"juvenil",0,0,0,NA,-1.19517792828404
1901,190,"f",12.33,0,0,"old",0,0,0,NA,0.835744550196145
1911,191,"f",12.47,0,0,"juvenil",0,0,0,NA,1.03597634384912
1921,192,"f",12.09,0,0,"juvenil",0,0,0,NA,0.492490046791044
1961,196,"f",11.45,0,0,"old",0,0,0,NA,-0.422855295622559
2001,200,"f",12.48,0,0,"juvenil",0,0,0,NA,1.05027861482433
2051,205,"f",10.23,0,0,"juvenil",0,0,0,NA,-2.16773235459849
2181,218,"f",10.07,0,0,"juvenil",0,0,0,NA,-2.39656869020189
2271,227,"f",11.99,0,0,"juvenil",0,0,0,NA,0.349467337038919
2281,228,"f",11.75,0,0,"juvenil",0,0,0,NA,0.00621283363381785
2311,231,"f",11.77,0,0,"juvenil",0,0,0,NA,0.0348173755842423
2321,232,"f",12.58,0,0,"old",0,0,0,NA,1.19330132457646
2351,235,"f",11,0,0,"juvenil",0,0,0,NA,-1.06645748950712
2421,242,"f",11.39,0,0,"juvenil",0,0,0,NA,-0.508668921473833
2501,250,"f",11.55,0,0,"old",0,0,0,NA,-0.279832585870432
2571,257,"f",10.53,0,0,"old",0,0,0,NA,-1.73866422534211
2601,260,"f",12.94,0,0,"intermediate",0,0,0,NA,1.70818307968411
2791,279,"f",11.2,0,0,"juvenil",0,0,0,NA,-0.780412070002873
2821,282,"f",12.08,0,0,"juvenil",0,0,0,NA,0.478187775815832
2851,285,"f",11.79,0,0,"juvenil",0,0,0,NA,0.0634219175346668
2881,288,"f",12,0,0,"juvenil",0,0,0,NA,0.363769608014131
2891,289,"f",12.24,0,0,"juvenil",0,0,0,NA,0.707024111419233
2901,290,"f",10.99,0,0,"juvenil",0,0,0,NA,-1.08075976048234
2941,294,"f",12.23,0,0,"old",0,0,0,NA,0.692721840444021
2951,295,"f",11.46,0,0,"juvenil",0,0,0,NA,-0.408553024647345
3071,307,"f",12.22,0,0,"juvenil",0,0,0,NA,0.678419569468808
3171,317,"f",12.44,0,0,"juvenil",0,0,0,NA,0.993069530923482
3241,324,"f",12.16,0,0,"juvenil",0,0,0,NA,0.592605943617532
3341,334,"f",11.28,0,0,"juvenil",0,0,0,NA,-0.665993902201172
3351,335,"f",11.82,0,0,"juvenil",0,0,0,NA,0.106328730460306
3371,337,"f",9.36,0,0,"juvenil",0,0,0,NA,-3.41202992944198
3381,338,"f",11.98,0,0,"juvenil",0,0,0,NA,0.335165066063707
3421,342,"f",12.26,0,0,"juvenil",0,0,0,NA,0.735628653369657
3451,345,"f",11.91,0,0,"juvenil",0,0,0,NA,0.235049169237219
3471,347,"f",12.05,0,0,"juvenil",0,0,0,NA,0.435280962890195
3511,351,"f",12.45,0,0,"intermediate",0,0,0,NA,1.00737180189869
3521,352,"f",12.21,0,0,"intermediate",0,0,0,NA,0.664117298493596
3551,355,"f",12.52,0,0,"old",0,0,0,NA,1.10748769872518
3581,358,"f",11.31,0,0,"intermediate",0,0,0,NA,-0.623087089275533
3591,359,"f",12.26,0,0,"juvenil",0,0,0,NA,0.735628653369657
3631,363,"f",12.8,0,0,"juvenil",0,0,0,NA,1.50795128603114
3681,368,"f",10.96,0,0,"juvenil",0,0,0,NA,-1.12366657340797
3731,373,"f",12.61,0,0,"juvenil",0,0,0,NA,1.2362081375021
3751,375,"f",11.1,0,0,"juvenil",0,0,0,NA,-0.923434779754998
3771,377,"f",12.31,0,0,"intermediate",0,0,0,NA,0.807140008245721
381,381,"f",11.6,0,0,"juvenil",0,0,0,NA,-0.208321230994371
383,383,"f",12.55,0,0,"old",0,0,0,NA,1.15039451165082
385,385,"f",12.24,0,0,"juvenil",0,0,0,NA,0.707024111419233
396,396,"f",12.33,0,0,"old",0,0,0,NA,0.835744550196145
403,403,"f",11.68,0,0,"juvenil",0,0,0,NA,-0.0939030631926703
404,404,"f",11.48,0,0,"intermediate",0,0,0,NA,-0.37994848269692
409,409,"f",11.84,0,0,"juvenil",0,0,0,NA,0.134933272410731
412,412,"f",11.13,0,0,"juvenil",0,0,0,NA,-0.880527966829359
415,415,"f",12.47,0,0,"intermediate",0,0,0,NA,1.03597634384912
416,416,"f",11.96,0,0,"juvenil",0,0,0,NA,0.306560524113282
418,418,"f",11.94,0,0,"old",0,0,0,NA,0.277955982162855
420,420,"f",10.48,0,0,"juvenil",0,0,0,NA,-1.81017558021817
424,424,"f",12.71,0,0,"old",0,0,0,NA,1.37923084725422
